image;name;manufacturer;supplier;defaultCategory;price;turnover;margins;count;stockAmount;internalNote;purchasePrice;code;ean
/user/shop/related/288666-2.jpg?65bb7c6e;Karamalz Sladovı nápoj Classic 0,33 l - originál z Nìmecka;Karamalz;Gunz;Limonády a ledové èaje;;19869;6506;1208;215;;;986209;
/user/shop/related/936-2.png?5e0cb342;Ritter Sport Nugat 100g - originál z Nìmecka;Ritter Sport;Edeka;Èokolády;40,09;38504;10812;1167;66;;23,75;2619;4,00042E+12
/user/shop/related/285305.jpg?64721837;tesori d´Oriente voòavá koncentrovaná avivá Ayurveda 38 dávek, 760 ml;Tesori d'Oriente;Blog SRL;Aviváe;66,03;77546;17372;1153;463;;42;55244;8,00897E+12
/user/shop/related/285803-1.jpg?64ad0adc;Harboe Squash Orange 330 ml;Harboe;Pavel;Limonády a ledové èaje;11,49;14287;4825;1153;751;;5,56;26858;5,7016E+12
/user/shop/related/945.jpg?62f64002;Ritter Sport Marzipan marcipánová èokoláda 100 g - originál z Nìmecka;Ritter Sport;Edeka;Èokolády;40,09;32919;7128;1147;117;;23,75;602510;4,00042E+12
/user/shop/related/281622-3.jpg?633eabb0;Ritter Sport Olympia 100 g;Ritter Sport;Edeka;Èokolády;35,63;34257;8267;1142;11;;23,75;80008;4,00042E+12
/user/shop/related/4423.jpg?63fd9afe;Dalli Sport Outdoor prací gel na sportovní obleèení 27 dávek, 1,1l - originál z Nìmecka;Dalli;Metro;Prací gely;98,35;96877;15449;1111;0;;59,75;524211;4,0124E+12
/user/shop/related/264521.png?5f358ca3;Fanta exotic 0,33l;Fanta;Pavel;Limonády a ledové èaje;16,45;18629;5319;1109;1482;;9,32;96153;5,7407E+12
/user/shop/related/2167-1.jpg?60851763;G&G Hygienické vlhèené ubrousky 80ks - originál z Nìmecka;G&G;Edeka;Èistící ubrousky;45,37;62713;21428;1100;0;;25;4061;4,3115E+12
/user/shop/related/290097.png?664f793d;Harboe Cola 330 ml;Harboe;Pavel;Limonády a ledové èaje;214,79;12675;4283;1073;18;;133;8011;5,7016E+12
/user/shop/related/290604.png?667f9921;Perwoll Renew & Care Caps na tmavé prádlo, 19 dávek, 256,5 g;Perwoll;HDM Trading;Kapsle na praní;107,36;101735;10117;1057;319;;70;31071;4,0152E+12
/user/shop/related/265277-1.jpg?5f494904;Mars mixed Minis 20ks, 400g;Mars;Pavel;Bonboniéry;;159827;53980;1040;12;;;52977;
/user/shop/related/287268-1.png?68273f09;Tic Tac Jahoda Mix Maxi Pack 228g - limitovaná edice;Tic Tac;Pavel;Bonbony;223,13;237649;78382;1022;21;;133,7;85371;8,0005E+12
/user/shop/related/949.png?62b4a2fb;Ritter Sport Kokos kokosová èokoláda 100 g - originál z Nìmecka;Ritter Sport;Edeka;Èokolády;35,63;29652;6978;1010;114;;25,01;9814;4,00042E+12
/user/shop/related/285806-1.png?66cd8157;Harboe Cloudy Lemon 330 ml;Harboe;Pavel;Limonády a ledové èaje;11,49;12746;4554;1008;384;;5,56;22537;5,71102E+12
/user/shop/related/47.png?62161b22;Kuschelweich Avivá s vùní letního vánku 1 l, 38 PD - originál z Nìmecka;Kuschelweich;Metro;Aviváe;46,2;54180;16252;1006;204;;28,99;1313;4,01316E+12
/user/shop/related/1228-1.jpg?60b53c89;G&G Vanilinovı cukr 15ks x 8g, 120g - originál z Nìmecka;G&G;Edeka;Cukr;15,1;16690;5285;1000;157;;9,45;115495;43115495
/user/shop/related/264410-1.png?68273fe1;Tic Tac Maxi Pack 228g;Tic Tac;Pavel;Bonbony;;225310;72996;977;17;;;264410;
/user/shop/related/285302.jpg?6472e0f3;tesori d´Oriente antibakteriální koncentrovaná avivá Thalasso Therapy 38 dávek, 760 ml;Tesori d'Oriente;Blog SRL;Aviváe;74,3;62394;11608;973;247;;42;55251;8,00897E+12
/user/shop/related/274968.jpg?65e4657e;Dr Pepper limonáda 330 ml;Dr Pepper;Pavel;Limonády a ledové èaje;;19823;5948;966;1998;;;44009;
/user/shop/related/287292.jpg?6536a2ed;Pepsi Max Lemon 0,33 l/09/2024;Pepsi;Pavel;Limonády a ledové èaje;13,14;8491;-168;966;0;;7,8;24786;5,741E+12
/user/shop/related/259894.png?67d59a1d;Choceur Nussknacker jemnì hoøká èokoláda s lískovımi oøechy 100g - originál z Nìmecka;Choceur;Pavel;Èokolády;53,48;37289;14137;961;155;;34,75;22002;4,06146E+12
/user/shop/related/4363-1.jpg?62e78a88;HiPP Babysanft Jemnı šampon sensitiv 200 ml - originál z Nìmecka;HiPP;Edeka;Šampony, oleje, tìlová mléka;74,3;69492;10740;949;81;;42,5;9377;4,0623E+12
/user/shop/related/5079.jpg?68248adf;Lenor Professional Odour Avivá Eliminator 190 praní 4,75 l - originál z Nìmecka;Lenor;Brand Trading;Aviváe;247,11;207355;28605;946;382;;157,5;14140;8,70022E+12
/user/shop/related/940-2.png?5e0cb342;Ritter Sport Joghurt èokoláda 100 g - originál z Nìmecka;Ritter Sport;Edeka;Èokolády;40,09;27451;6022;946;119;;27,62;602718;4,00042E+12
/user/shop/related/259861.jpg?68248a2a;Lenor Professional Avivá Sommerbrise Linen Care 200 praní ,5 l - originál z Nìmecka;Lenor;Brand Trading;Aviváe;;217248;39497;945;126;;;14201;
/user/shop/related/3073.png?6357bc05;Ritter Sport Haselnuss mléèná èokoláda 100 g - originál z Nìmecka;Ritter Sport;Edeka;Èokolády;35,63;28064;6204;941;22;;25,01;2211;4,00042E+12
/user/shop/related/262103-2.jpg?632f08dd;Ritter Sport HALBBITTER polohoøká èokoláda 100 G - originál z Nìmecka;Ritter Sport;Edeka;Èokolády;35,63;29797;7537;933;10;;23,75;2015;4,00042E+12
/user/shop/related/5100-1.jpg?666bf335;Nescafé Frappé 275 g - originál z Nìmecka;Nescafe;Edeka;Instantní káva;98,13;91213;21818;931;5;;62,51;74995;4,0055E+12
/user/shop/related/264659.jpg?5f367023;Fanta s pøíchutí jahod a kiwi 0,33l;Fanta;Pavel;Limonády a ledové èaje;16,45;14962;4048;916;1;;8,7;87984;5,7407E+12
/user/shop/related/280195.png?66068d79;Harboe Pilsner svìtlé pivo 4,6%, 0,33 l;Harboe;Pavel;Pivo;12,31;12548;4469;908;0;;5,85;30763;5,7016E+12
/user/shop/related/285299-4.jpg?6472ec84;tesori d´Oriente voòavá koncentrovaná avivá Persian Dream 38 dávek, 760 ml;Tesori d'Oriente;Blog SRL;Aviváe;66,03;56968;13350;899;491;;42;55268;8,00897E+12
/user/shop/related/279265.png?667f99af;Perwoll Renew prací gel pro jasnì bílé prádlo 25 dávek, 1,375 l;Perwoll;HDM Trading;Prací gely;107,36;86608;8802;897;0;;70;31187;4,0152E+12
;Tesori d'Oriente avivá Muschio Bianco, 38 dávek, 760 ml;Tesori d'Oriente;Blog SRL;;;60143;15866;888;;;;985850;
/user/shop/related/285413.png?6471bb24;tesori d´Oriente voòavá koncentrovaná avivá Byzantium 38 dávek, 760 ml;Tesori d'Oriente;Blog SRL;Aviváe;66,03;55280;13282;856;0;;42,75;55237;8,00897E+12
/user/shop/related/260369.jpg?5e0cb342;Asia Gold Instantní nudle – kachna 60g - originál z Nìmecka;Asia Gold;Gunz;Instantní jídla;13,31;12576;4884;851;255;;7,49;4232;9,00286E+12
/user/shop/related/264365.jpg?62f6403c;Ritter Sport mléèná èokoláda s rumem, rozinkami a oøíšky 100g;Ritter Sport;Edeka;Èokolády;35,63;24976;5592;838;94;;24,7;601216;4,00042E+12
/user/shop/related/284220-1.jpg?642018db;Fanta pomeranè 0,33l;Fanta;Pavel;Limonády a ledové èaje;82,56;13438;3517;832;1256;;54;5706;4,0622E+12
/user/shop/related/286404-7.png?64ddbe62;Kuschelweich koncentrovaná avivá Emotions Frische 38 dávek, 1 l - originál z Nìmecka;Kuschelweich;Burda;Aviváe;46,2;43723;12093;811;39;;28,99;33072;4,01316E+12
/user/shop/related/290277.png?667144bf;Somersby Pear (Hruškovı) Cider 4,5%, 330 ml;Somersby;Pavel;Lihoviny;20,45;19230;8003;804;0;;9,36;992827;5,7407E+12
/user/shop/related/261623.jpg?5e0cb342;Buzzy Vlhèené ubrousky pro èištìní kuchynì 48 ks - originál z Nìmecka;BUZZY UK LTD;CLOVIN;Èistící ubrousky;24,71;22844;7263;800;0;;15,45;31891;4,26042E+12
/user/shop/related/5487.png?681336c5;Edeka 100% citrónová šáva 750 ml - originál z Nìmecka;Edeka;Edeka;Dusy a šávy;49,5;49737;15304;796;0;;30;7745;4,3115E+12
/user/shop/related/264656.jpg?5f366f66;Fanta lemon 0,33l;Fanta;Pavel;Limonády a ledové èaje;16,45;15138;4406;783;1795;;9,32;86932;5,449E+12
/user/shop/related/1891-1.jpg?5e748c18;G&G Arašídy v dóze, praené, solené 200g - originál z Nìmecka;G&G;Edeka;Slané pochutiny;40,09;33789;9151;772;48;;27,59;1053;4,3116E+12
/user/shop/related/1055.jpg?65a1260c;G&G Sardinky v sluneènicovém oleji 125g - originál z Nìmecka;G&G;Edeka;Konzervované ryby;;30073;10683;759;61;;;1748;
/user/shop/related/895-1.jpg?5f49e390;Ferrero Nutella 1 kg - originál z Nìmecka;Nutella;Pavel;Èokokrémy;;157204;46946;752;41;;;401829;
/user/shop/related/2779-1.jpg?5ec37611;G&G Vanilkovı pudink 5 X 37G - originál z Nìmecka;G&G;Edeka;Pøísady na vaøení a peèení;17,77;14743;5733;747;43;;9,58;7779;4,3115E+12
/user/shop/related/267710-1.png?5f972b23;Ferrero Nutella Mini 25g;Nutella;Gunz;Èokokrémy;25,81;20954;8107;730;0;;14,47;809180;80809180
/user/shop/related/815.jpg?5e0cb342;G&G Sleïové filety v rajèatové omáèce 200g - originál z Nìmecka;G&G;Edeka;Konzervované ryby;35,64;28768;7793;726;108;;22,95;9478;4,3116E+12
/user/shop/related/260123.jpg?5e0cb342;Maitre Truffout Mozartovy tyèinky plnìné pistáciovım krémem 200g - originál z Nìmecka;Maitre Truffout;Gunz;Bonboniéry;80,27;45138;13000;722;75;;50;100536;9,00286E+12
/user/shop/related/290049-2.png?664f1da4;Harboe limonáda s meruòkovou pøíchutí 330 ml;Harboe;Pavel;Limonády a ledové èaje;;8313;2902;716;1047;;;986437;
/user/shop/related/282093.jpg?6357c1f8;Ambi Pur aktivní èistiè na koupelny a záchody - Wild Sage & Cedar 750 ml;Ambi Pur;Metro;Domácnost;40,5;34817;6080;710;0;;32;1106;8,4355E+12
/user/shop/related/273840.png?61e6b4da;Carlsberg svìtlé pivo 4,6%, 0,33l;Carlsberg;Pavel;Pivo;;11793;2735;707;72;;;20040;
/user/shop/related/282099.jpg?6357c2b0;Ambi Pur aktivní èistiè na koupelny a záchody - Citrus & Waterlily 750 ml;Ambi Pur;Metro;Domácnost;48,76;38096;9224;696;0;;32;821250;8,4355E+12
/user/shop/related/94.png?64627052;G&G sùl do myèky 2 kg - originál z Nìmecka;G&G;Edeka;Prostøedky na nádobí / do myèky;24,71;20556;6315;694;0;;15,27;6126;4,31154E+12
/user/shop/related/280219.jpg?66018003;Pepsi Max 0,33 l;Pepsi;Pavel;Limonády a ledové èaje;13,14;9639;2660;689;807;;7,8;4427;5,741E+12
/user/shop/related/1660-1.jpg?5e0cb342;G&G Paštika s drùbeím masem 100g - originál z Nìmecka;G&G;Edeka;Kapsièky pro koèky;10,63;8081;2846;684;0;;6,4;70423;4,31154E+12
/user/shop/related/265673.jpg?647e3af7;Paulaner Weißbier pšenièné pivo 5,5%, 0,5l;Paulaner;Pavel;Pivo;32,98;21919;5329;679;1019;;17,7;601920;4,0666E+12
/user/shop/related/269997.jpg?6025a904;Edeka mléko pro koèky 200ml;Edeka;Edeka;Doplòkové krmivo pro koèky;15,1;11386;4073;679;24;;10,13;305171;4,3115E+12
/user/shop/related/1885-1.jpg?61a52340;G&G Mléèná èokoláda z alpského mléka 100g - originál z Nìmecka;G&G;Edeka;Èokolády;;19165;7527;673;48;;;2516;
/user/shop/related/1822-1.png?67cfd9b4;G&G Slané tyèinky 250g - originál z Nìmecka;G&G;Edeka;Krekry a snacky;22,23;16695;5053;673;75;;14,4;7610;4,3115E+12
/user/shop/related/290088-1.png?664f770e;Tuborg Classic 4,6%, 330ml;Tuborg;Pavel;Pivo;;10481;1897;671;0;;;986450;
/user/shop/related/265412-1.jpg?5f4bc7a4;Pick Juliska pravı maïarskı uherskı salám 375g;Pick;Pavel;Salámy a párky;205,27;138467;54258;660;11;;124,75;19315;5,998E+12
/user/shop/related/280947.png?66c8052a;Kuschelweich Premium Finese s arganovım olejem 28 dávek 750 ml;Kuschelweich;HDM Trading;Aviváe;41,24;31420;8752;653;300;;28,99;1733;4,01316E+12
/user/shop/related/277900-2.jpg?61eafb88;G&G Filety z tuòáka v olivovém oleji 185g;G&G;Edeka;Konzervované ryby;;38014;10771;642;96;;;752121;
/user/shop/related/286407.png?64ddbf2d;Kuschelweich koncentrovaná avivá Emotions Sinnlichkeit 38 dávek, 1 l - originál z Nìmecka;Kuschelweich;Burda;Aviváe;46,2;34280;9353;641;108;;28,6;33119;4,01316E+12
/user/shop/related/5646.jpg?64d9fb2d;Kuschelweich Premium Glamour s mandlovım olejem 750ml - originál z Nìmecka;Kuschelweich;HDM Trading;Aviváe;41,24;30717;8487;641;321;;28,99;31719;4,01316E+12
/user/shop/related/4449-1.jpg?623c2e8d;G&G Vlhèené ubrousky do sušièky - jarní vánek 25ks - originál z Nìmecka;G&G;Edeka;Doplòky k praní;37,11;28267;11642;633;388;;17,5;8214;4,3115E+12
/user/shop/related/285755.jpg?6492b5cd;Softlan 3D Ultra Aroma avivá kokosovı oøech a bílé kvìtiny 31 PD - originál z Nìmecka;Softlan;Metro;Aviváe;41,24;30240;8020;632;0;;26,9;80749;8,71895E+12
/user/shop/related/261629.jpg?5e0cb342;Buzzy Vlhèené ubrousky pro èištìní døeva a laminátu 48 ks - originál z Nìmecka;BUZZY UK LTD;CLOVIN;Èistící ubrousky;24,71;18016;7668;629;0;;11,5;1914;4,26042E+12
/user/shop/related/285767-1.jpg?649528f8;Knoppers Oplatka Jogurt 25g;Knoppers;Pavel;Sušenky a piškoty;8,84;5882;3237;627;0;;3,25;44665;40144665
/user/shop/related/289668-1.png?660e3fc0;Kuschelweich Avivá s vùní letního vánku 76 dávek, 2 l - originál z Nìmecka;Kuschelweich;Burda;Aviváe;82,56;60005;16012;626;67;;53,7;2031450;4,01316E+12
;Regina XXL BÍLİ 2-VRSTVİ toaletní papír 48 ks;Regina;DROGERIASHOP s.r.o.;;;172241;46250;624;;;;4386;
/user/shop/related/4824-1.jpg?63218a25;Tulip Snídaòové maso launchmeat 340g - originál z Nìmecka;Tulip;Edeka;Paštiky;115,98;61763;21207;621;21;;74,75;1438;5,76239E+12
/user/shop/related/260375.jpg?5e0cb342;Asia Gold Instantní polevka – krevety 60g - originál z Nìmecka;Asia Gold;Gunz;Instantní jídla;13,31;8981;3405;619;55;;7,5;3244;9,00286E+12
/user/shop/related/1963-1.jpg?5e7c818d;G&G Filety z tuòáka ve vlastní šávì 195g - originál z Nìmecka;G&G;Edeka;Konzervované ryby;53,5;36694;13674;618;120;;29,25;5250;4,3115E+12
/user/shop/related/921-2.jpg?6385db4a;Haribo Konfekt lékoøicové 175 g - originál z Nìmecka;Haribo;Edeka;Bonbony;32,05;21845;7820;618;3;;22,72;1105;4,00169E+12
/user/shop/related/287172-1.jpg?652a5ce6;Pilsner Urquell 4.4%, 0,33l;pilsner urquell;Pavel;Pivo;28,02;20588;5833;618;48;;18,56;127;8,5944E+12
/user/shop/related/840.jpg?5fa26379;G&G Delikátní hoøèice, jemnì pálivá 250ml - originál z Nìmecka;G&G;Edeka;Hoøèice;22,23;15275;6562;618;75;;12,38;54402;4,3116E+12
/user/shop/related/281541.jpg?633aed78;Ferrero Nutella 3 kg;Nutella;;Èokokrémy;534,82;357981;89060;615;403;;421,3;31329;8,0005E+12
/user/shop/related/285809-2.jpg?64ad0cb5;Harboe Exotic 330 ml;Harboe;Pavel;Limonády a ledové èaje;11,49;8693;2951;614;0;;6,34;21813;5,71102E+12
/user/shop/related/290082.png?677fd349;Guinness pivo 4,2%, 440 ml;Guinness;Pavel;Pivo;;22047;4141;602;568;;;986448;
/user/shop/related/1819.jpg?5e0cb342;G&G Rajèata pasírovaná 500g - originál z Nìmecka;G&G;Edeka;Keèupy a protlaky;26,7;17798;5922;600;28;;13,92;40429;4,3116E+12
/user/shop/related/287664-3.jpg?656dcd4b;Ritter Sport èokoláda s køupinkami 100g;Ritter Sport;Edeka;Èokolády;40,09;17416;4009;596;62;;27,26;1117;4,00042E+12
/user/shop/related/1201.jpg?63e88fe7;G&G Mandarinky - celé kousky, loupané 312 g - originál z Nìmecka;G&G;Edeka;Konzervované ovoce;32,96;21719;6141;593;38;;18,94;2508;4,3116E+12
/user/shop/related/264383.png?5f2ff801;Beck´s 5%, 330ml;Beck´s;Pavel;Pivo;18,1;13292;2862;591;0;;12,6;1332;41001332
/user/shop/related/1224.png?5e0cb342;Ritter Sport Knusperkeks èokoláda 100 g - originál z Nìmecka;Ritter Sport;Edeka;Èokolády;35,63;17119;4309;584;25;;23,75;1412;4,00042E+12
/user/shop/related/4425.jpg?5e0cb342;WC Meister závìska do WC exotické kvìty 45 g - originál z Nìmecka;WC Meister;CLOVIN;WC vùnì / vonící gely;21,4;14942;6058;581;321;;14,2;30924;4,26042E+12
/user/shop/related/2443.jpg?5e0cb342;G&G Ubrousky proti zapírání - pohlcovaè barev 24 ks - originál z Nìmecka;G&G;Edeka;Odstraòovaèe skvrn;49,5;26246;8407;578;56;;17,47;7925;4,3115E+12
/user/shop/related/932-1.png?6333f3ee;Ritter Sport Pfefferminz peprmintová èokoláda 100 g - originál z Nìmecka;Ritter Sport;Edeka;Èokolády;35,63;18551;5268;578;91;;24,7;2817;4,00042E+12
;Red Bull The Apricot Edition Meruòka a jahoda 250 ml;Redbull;Blog SRL;;;19942;4178;577;;;;48898;
/user/shop/related/268259-1.jpg?632ae4f1;Soft Flower Kuchyòské utìrky 2-vrstvé, XXL Jumbo, 300 útrkù, 72m;SOFT FLOWER;DROGERIASHOP s.r.o.;Èistící ubrousky;66,03;45543;10704;576;0;;46,9;3000;8,00389E+12
/user/shop/related/935.png?63049ed1;Ritter Sport èokoláda jahoda-jogurt 100g - originál z Nìmecka;Ritter Sport;Edeka;Èokolády;35,63;18192;4840;576;4;;25,01;3713;4,00042E+12
